Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	ATP binding cassette subfamily A member 12	2	214931542-215138428	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA078239			Approved	Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol		Mixed	Group enriched	6	breast: 7.7;skin: 25.2	tonsil: 2.5	Group enriched	6	hTCEpi: 28.4;SK-BR-3: 13.8;T-47d: 9.1
ABCA13	FLJ33876, FLJ33951	ENSG00000179869	ATP binding cassette subfamily A member 13	7	48171458-48647496	Predicted membrane proteins	Evidence at transcript level	HPA063601			Approved	Vesicles<br>Centrosome<br>Cytosol		Mixed	Tissue enriched	10	bone marrow: 29.4	testis: 3.0	Cell line enhanced		HDLM-2: 5.3;U-2 OS: 6.8
ABCA2	ABC2	ENSG00000107331	ATP binding cassette subfamily A member 2	9	137007227-137028922	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042886	Approved					Expressed in all	Tissue enriched	6	cerebral cortex: 97.9	thyroid gland: 17.1	Cell line enhanced		T-47d: 63.1
ABCA3	ABC-C, ABC3, EST111653, LBM180	ENSG00000167972	ATP binding cassette subfamily A member 3	16	2275881-2340746	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007884	Enhanced		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Tissue enhanced		lung: 135.5	cerebral cortex: 51.5	Cell line enhanced		SCLC-21H: 53.9;T-47d: 71.7
ABCA4	ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1	ENSG00000198691	ATP binding cassette subfamily A member 4	1	93992835-94121132	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Lung cancer:2.45e-4 (favourable), Urothelial cancer:2.72e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		epididymis: 9.9	kidney: 4.2	Cell line enhanced		BEWO: 2.8;EFO-21: 6.2;SK-BR-3: 1.9
ABCA5	EST90625	ENSG00000154265	ATP binding cassette subfamily A member 5	17	69244311-69327244	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA022032, HPA062904	Approved		Approved	Nucleus	Pancreatic cancer:9.97e-5 (favourable)	Expressed in all	Expressed in all			skin: 28.0	Cell line enhanced		SiHa: 19.6
ABCA6	EST155051	ENSG00000154262	ATP binding cassette subfamily A member 6	17	69078702-69141888	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA064878, HPA067180			Approved	Nucleoplasm	Liver cancer:3.29e-4 (favourable)	Tissue enriched	Tissue enhanced		liver: 41.4	ovary: 37.4	Cell line enhanced		ASC diff: 28.1;ASC TERT1: 41.4;HSkMC: 18.8;HUVEC TERT2: 47.8
ABCA7	ABCX	ENSG00000064687	ATP binding cassette subfamily A member 7	19	1040101-1065572	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041564	Enhanced		Supported	Golgi apparatus<br>Plasma membrane<br>Cell Junctions	Endometrial cancer:1.12e-4 (favourable), Colorectal cancer:7.26e-4 (unfavourable)	Expressed in all	Mixed			spleen: 25.3	Cell line enhanced		HMC-1: 52.2
ABCA8	KIAA0822	ENSG00000141338	ATP binding cassette subfamily A member 8	17	68867292-68955392	Predicted membrane proteins, Transporters	Evidence at protein level	HPA044914	Enhanced		Approved	Nucleoplasm<br>Cytosol		Mixed	Mixed			ovary: 67.5	Group enriched	6	ASC diff: 23.3;ASC TERT1: 52.5;HHSteC: 10.6;HSkMC: 41.5
ABCA9	EST640918	ENSG00000154258	ATP binding cassette subfamily A member 9	17	68974488-69061064	Predicted membrane proteins, Transporters	Evidence at protein level	HPA052113, HPA054823	Uncertain		Approved	Endoplasmic reticulum		Mixed	Mixed			ovary: 32.5	Cell line enhanced		ASC diff: 14.7;ASC TERT1: 31.9;HSkMC: 11.9
ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1	ENSG00000085563	ATP binding cassette subfamily B member 1	7	87503633-87713323	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB001716, HPA002199	Enhanced		Approved	Nucleoplasm<br>Focal adhesion sites<br>Cytosol	Renal cancer:2.95e-4 (favourable), Pancreatic cancer:3.33e-4 (favourable)	Tissue enhanced	Tissue enhanced		adrenal gland: 137.8;small intestine: 82.4	kidney: 37.3	Cell line enhanced		CACO-2: 56.6;HEL: 34.4;SH-SY5Y: 85.9
ABCB10	EST20237, M-ABC2, MTABC2	ENSG00000135776	ATP binding cassette subfamily B member 10	1	229516582-229558695	Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB044063, CAB044065, HPA055175	Uncertain					Expressed in all	Expressed in all			bone marrow: 36.5	Expressed in all		
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	ATP binding cassette subfamily B member 11	2	168922938-169031322	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA019035	Enhanced		Uncertain	Nucleoplasm<br>Plasma membrane<br>Cytosol		Tissue enriched	Tissue enriched	13	liver: 19.1	testis: 1.4	Not detected		
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	ATP binding cassette subfamily B member 4	7	87401697-87480435	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA049395, HPA053288	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites		Tissue enriched	Tissue enriched	6	liver: 69.3	adrenal gland: 10.7	Group enriched	6	SH-SY5Y: 14.2;WM-115: 25.6
ABCB5	ABCB5alpha, ABCB5beta, EST422562	ENSG00000004846	ATP binding cassette subfamily B member 5	7	20615207-20777038	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Tissue enriched	7	epididymis: 32.3	gallbladder: 4.3	Cell line enriched	6	SK-MEL-30: 37.0
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	ATP binding cassette subfamily B member 6 (Langereis blood group)	2	219209768-219218990	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046723, HPA058011	Approved		Enhanced	Nucleoplasm<br>Golgi apparatus<br>Plasma membrane<br>Mitochondria<br>Cytosol	Renal cancer:1.52e-7 (unfavourable), Liver cancer:9.45e-7 (unfavourable)	Expressed in all	Expressed in all			testis: 32.7	Mixed		
ABCB7	ABC7, ASAT, Atm1p, EST140535	ENSG00000131269	ATP binding cassette subfamily B member 7	X	75053172-75156732	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA034982	Approved		Supported	Mitochondria	Renal cancer:5.31e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 21.7	Expressed in all		
ABCB8	EST328128, M-ABC1, MABC1	ENSG00000197150	ATP binding cassette subfamily B member 8	7	151028422-151047782	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA045187	Approved		Supported	Nucleus<br>Mitochondria	Pancreatic cancer:3.34e-4 (favourable), Renal cancer:5.88e-4 (favourable), Head and neck cancer:5.91e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 17.1	Expressed in all		
ABCB9	EST122234	ENSG00000150967	ATP binding cassette subfamily B member 9	12	122920951-122981649	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB033052, HPA035113, HPA035114	Approved		Supported	Vesicles	Glioma:4.62e-4 (unfavourable)	Mixed	Tissue enhanced		testis: 23.8	cerebral cortex: 12.0	Mixed		
ABCC1	GS-X, MRP, MRP1	ENSG00000103222	ATP binding cassette subfamily C member 1	16	15949577-16143074	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA002380	Uncertain		Supported	Plasma membrane	Renal cancer:1.55e-6 (unfavourable), Liver cancer:5.42e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 18.6	Cell line enhanced		EFO-21: 84.1
ABCC10	EST182763, MRP7, SIMRP7	ENSG00000124574	ATP binding cassette subfamily C member 10	6	43427366-43450430	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041607, HPA045464	Approved				Renal cancer:1.90e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 12.5	Expressed in all		
ABCC11	MRP8	ENSG00000121270	ATP binding cassette subfamily C member 11	16	48166910-48247568	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA031980, HPA031981, HPA031982, CAB032513	Uncertain					Group enriched	Tissue enriched	11	breast: 64.4	prostate: 6.0	Cell line enriched	5	T-47d: 64.4
ABCC12	MRP9	ENSG00000140798	ATP binding cassette subfamily C member 12	16	48082973-48156018	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA043100	Uncertain					Tissue enhanced	Tissue enhanced		testis: 2.9	breast: 0.6	Not detected		
ABCC2	CMOAT, cMRP, DJS, MRP2	ENSG00000023839	ATP binding cassette subfamily C member 2	10	99782732-99852192	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA004860, CAB037271	Enhanced				Renal cancer:1.93e-5 (unfavourable)	Tissue enhanced	Group enriched	10	duodenum: 43.5;gallbladder: 42.7;kidney: 20.9;liver: 67.6;small intestine: 49.5	breast: 4.4	Cell line enhanced		A549: 203.8;Hep G2: 155.8
ABCC3	cMOAT2, EST90757, MLP2, MOAT-D, MRP3	ENSG00000108846	ATP binding cassette subfamily C member 3	17	50634777-50692252	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB037136, HPA048483	Enhanced		Approved	Plasma membrane	Renal cancer:4.68e-6 (unfavourable), Pancreatic cancer:9.57e-4 (unfavourable)	Mixed	Mixed			adrenal gland: 20.7	Cell line enhanced		A549: 69.8;CAPAN-2: 51.3
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	ATP binding cassette subfamily C member 4	13	95019829-95301446	Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA002476	Enhanced				Renal cancer:2.25e-10 (favourable), Endometrial cancer:9.89e-4 (unfavourable)	Tissue enriched	Tissue enhanced		prostate: 70.4	epididymis: 23.6	Group enriched	5	HEL: 277.0;HMC-1: 278.6
ABCC5	EST277145, MOAT-C, MRP5, SMRP	ENSG00000114770	ATP binding cassette subfamily C member 5	3	183919934-184018015	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA044067, HPA052295	Uncertain		Supported	Nucleus<br>Plasma membrane<br>Cell Junctions	Liver cancer:6.78e-8 (unfavourable), Prostate cancer:3.40e-4 (unfavourable)	Expressed in all	Expressed in all			stomach: 72.6	Expressed in all		
ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	ATP binding cassette subfamily C member 6	16	16148928-16223522	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038105			Supported	Plasma membrane	Liver cancer:3.82e-4 (favourable)	Tissue enhanced	Tissue enhanced		kidney: 16.9;liver: 23.4	duodenum: 13.0	Cell line enriched	6	Hep G2: 45.5
ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	ATP binding cassette subfamily C member 8	11	17392885-17476845	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB011451, HPA042318	Approved		Approved	Nucleoli<br>Golgi apparatus<br>Cytosol		Tissue enriched	Tissue enhanced		cerebral cortex: 11.3	adrenal gland: 7.5	Cell line enhanced		A549: 1.7;AN3-CA: 1.8;SCLC-21H: 9.0
ABCC9	CMD1O, SUR2	ENSG00000069431	ATP binding cassette subfamily C member 9	12	21797401-21942529	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007279	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.85e-5 (unfavourable)	Mixed	Mixed			smooth muscle: 37.2	Cell line enhanced		ASC diff: 18.7;CACO-2: 21.7;HSkMC: 23.7;U-138 MG: 27.1
ABCD1	adrenoleukodystrophy, ALD, ALDP, AMN	ENSG00000101986	ATP binding cassette subfamily D member 1	X	153724868-153744762	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Renal cancer:5.50e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 19.3	Cell line enhanced		EFO-21: 65.5;PC-3: 46.4
ABCD2	ALDL1, ALDR, ALDRP	ENSG00000173208	ATP binding cassette subfamily D member 2	12	39550033-39619751	Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Tissue enhanced		adipose tissue: 16.7	cervix, uterine: 8.5	Group enriched	6	ASC diff: 8.0;HDLM-2: 15.7;Karpas-707: 20.8;SH-SY5Y: 18.5;U-266/70: 7.4
ABCD3	PMP70, PXMP1, ZWS2	ENSG00000117528	ATP binding cassette subfamily D member 3	1	94418455-94518666	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA032026, HPA032027, CAB032516, CAB075749	Enhanced		Enhanced	Peroxisomes	Colorectal cancer:1.16e-5 (favourable), Renal cancer:4.84e-5 (favourable)	Expressed in all	Expressed in all			liver: 66.4	Expressed in all		
ABCD4	EST352188, P70R, PMP69, PXMP1L	ENSG00000119688	ATP binding cassette subfamily D member 4	14	74285423-74303056	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003396	Approved					Expressed in all	Expressed in all			fallopian tube: 13.8	Expressed in all		
ABCG1	ABC8	ENSG00000160179	ATP binding cassette subfamily G member 1	21	42199689-42297244	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA031470, HPA031471	Approved		Supported	Golgi apparatus<br>Vesicles	Renal cancer:7.16e-6 (favourable)	Expressed in all	Expressed in all			lung: 43.5	Cell line enhanced		MCF7: 25.3;MOLT-4: 25.1;SCLC-21H: 26.2
ABCG2	ABCP, BCRP, CD338, EST157481, MXR	ENSG00000118777	ATP binding cassette subfamily G member 2 (Junior blood group)	4	88090264-88231322	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB037299, HPA054719	Enhanced		Enhanced	Nucleus<br>Plasma membrane		Mixed	Tissue enhanced		small intestine: 113.8	seminal vesicle: 55.9	Cell line enhanced		A549: 47.2;BEWO: 80.5;RPMI-8226: 32.5
ABCG4	WHITE2	ENSG00000172350	ATP binding cassette subfamily G member 4	11	119149012-119162653	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA040312	Uncertain					Not detected	Group enriched	6	cerebral cortex: 6.6;parathyroid gland: 4.1;testis: 5.1	seminal vesicle: 0.8	Cell line enhanced		AN3-CA: 1.7;HAP1: 1.0
ABCG5	STSL	ENSG00000138075	ATP binding cassette subfamily G member 5	2	43812472-43838865	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA016514			Approved	Nucleus	Liver cancer:2.60e-5 (favourable)	Tissue enriched	Group enriched	32	duodenum: 56.5;liver: 28.4;small intestine: 56.2	gallbladder: 1.4	Cell line enriched	37	Hep G2: 6.3
ABCG8	GBD4	ENSG00000143921	ATP binding cassette subfamily G member 8	2	43838964-43878466	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA019556	Uncertain		Approved	Vesicles		Tissue enriched	Group enriched	25	duodenum: 50.0;liver: 34.0;small intestine: 55.5	gallbladder: 1.8	Cell line enriched	44	Hep G2: 6.9
ABHD1	FLJ36128, LABH1	ENSG00000143994	Abhydrolase domain containing 1	2	27123789-27130812	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044390	Uncertain					Mixed	Tissue enriched	17	testis: 30.0	liver: 1.7	Cell line enhanced		RPMI-8226: 1.1;T-47d: 3.0;U-266/70: 2.4;U-266/84: 1.9
ABHD12	ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106	ENSG00000100997	Abhydrolase domain containing 12	20	25294743-25390983	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA026866	Uncertain				Cervical cancer:1.30e-5 (favourable), Breast cancer:3.81e-5 (unfavourable), Liver cancer:7.18e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 137.3	Expressed in all		
ABHD13	bA153I24.2, BEM46L1, C13orf6, FLJ14906	ENSG00000139826	Abhydrolase domain containing 13	13	108218379-108234255	Predicted membrane proteins	Evidence at protein level	HPA032143, HPA032144	Approved		Approved	Cytosol		Expressed in all	Mixed			thyroid gland: 12.7	Expressed in all		
ABHD14A	DKFZP564O243, DORZ1	ENSG00000248487	Abhydrolase domain containing 14A	3	51971426-51981199	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038153, HPA056913			Enhanced	Vesicles	Lung cancer:4.72e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 51.0	Expressed in all		
ABHD16A	BAT5, D6S82E, NG26	ENSG00000204427	Abhydrolase domain containing 16A	6	31686949-31703444	Predicted membrane proteins	Evidence at protein level	HPA058606	Approved				Endometrial cancer:2.63e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4	esophagus: 0.9	Not detected		
ABHD2	LABH2	ENSG00000140526	Abhydrolase domain containing 2	15	89087459-89202360	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA005999	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.18e-7 (favourable)	Expressed in all	Expressed in all			testis: 93.8	Expressed in all		
ABHD3	LABH3	ENSG00000158201	Abhydrolase domain containing 3	18	21650897-21704805	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010729	Approved		Approved	Nucleus<br>Vesicles<br>Plasma membrane	Melanoma:8.52e-4 (unfavourable)	Expressed in all	Expressed in all			rectum: 71.5	Cell line enhanced		REH: 188.5;RPMI-8226: 159.6
ABHD6		ENSG00000163686	Abhydrolase domain containing 6	3	58237506-58295693	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA017283, HPA073225	Uncertain		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.11e-11 (favourable), Colorectal cancer:1.13e-4 (favourable)	Expressed in all	Mixed			small intestine: 50.9	Mixed		
ABO	A3GALNT, A3GALT1	ENSG00000175164	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9	133250401-133275214	Predicted membrane proteins	Evidence at protein level							Mixed	Tissue enhanced		small intestine: 17.9	colon: 7.3	Group enriched	7	A-431: 4.5;CAPAN-2: 18.7;HaCaT: 14.1;K-562: 18.6;RT4: 6.3
AC004754.3		ENSG00000269881		16	249547-269943	Predicted membrane proteins	Evidence at transcript level	HPA011651, HPA071871	Uncertain		Uncertain	Nucleoplasm<br>Mitochondria		Not detected	Group enriched	5	duodenum: 14.2;small intestine: 7.8	testis: 2.0	Cell line enhanced		EFO-21: 1.5
AC006538.4		ENSG00000267001		19	2717769-2740048	Predicted membrane proteins	Evidence at protein level	HPA058526	Uncertain					Not detected	Mixed			testis: 3.9	Mixed		
AC007040.11		ENSG00000258881		2	70939318-70995336	Predicted membrane proteins	Evidence at transcript level							Not detected	Tissue enhanced		testis: 1.1	skin: 0.7	Cell line enhanced		U-2 OS: 2.3
AC009014.3		ENSG00000271824		5	136191468-136193134	Predicted membrane proteins	Evidence at transcript level						Liver cancer:1.63e-4 (favourable), Pancreatic cancer:6.13e-4 (favourable)	Tissue enhanced	Tissue enhanced		duodenum: 13.2;kidney: 22.7	small intestine: 6.8	Cell line enhanced		SCLC-21H: 2.0
AC009477.8		ENSG00000284479		2	131035092-131035262	Predicted membrane proteins	Evidence at transcript level								Tissue enriched	8	adipose tissue: 1.1	colon,small intestine: 0.1	Cell line enhanced		HEK93: 1.4
AC018755.18		ENSG00000268500		19	51612091-51646889	Predicted membrane proteins	Evidence at transcript level	HPA009085	Approved					Not detected	Tissue enhanced		appendix: 10.0;bone marrow: 17.4	spleen: 5.5	Group enriched	14	HMC-1: 68.6;U-937: 25.7
AC024592.12		ENSG00000267740		19	5866171-5903787	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA072209			Uncertain	Mitochondria		Not detected	Mixed			adrenal gland: 1.5	Mixed		
AC114783.1		ENSG00000237524		2	126898882-126902097	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	183	testis: 57.8	kidney: 0.3	Not detected		
AC136616.1		ENSG00000273554		Unmapped	1139577-1147868	Predicted membrane proteins	Evidence at transcript level								Group enriched	6	skin: 1.6;testis: 6.9	adrenal gland: 0.6	Cell line enriched	6	AN3-CA: 14.2
AC138517.6		ENSG00000283288		5	139470778-139474772	Predicted membrane proteins	Evidence at transcript level								Tissue enhanced		rectum: 2.6	colon: 1.6	Not detected		
AC138969.4		ENSG00000183889		16	16317444-16350590	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA053611	Approved		Approved	Nucleoplasm		Not detected	Expressed in all			skin: 116.2	Expressed in all		
AC171558.1		ENSG00000274792		Unmapped	386278-387620	Predicted membrane proteins	Evidence at transcript level	HPA057442	Uncertain		Uncertain	Centrosome			Tissue enriched	11	testis: 4.3	cerebral cortex: 0.4	Cell line enriched	29	U-2 OS: 3.3
AC171558.2		ENSG00000275249		Unmapped	372322-373405	Predicted membrane proteins	Evidence at transcript level	HPA058889	Uncertain						Tissue enriched	26	testis: 2.5	all non-specific tissues: 0.0	Not detected		
AC213203.1		ENSG00000277475		Unmapped	31698-32528	Predicted membrane proteins	Evidence at transcript level								Tissue enriched	11	testis: 24.2	lung: 2.2	Cell line enhanced		A549: 6.4;HMC-1: 4.8;SCLC-21H: 5.4
ACBD4	FLJ13322	ENSG00000181513	Acyl-CoA binding domain containing 4	17	45132600-45144181	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA051772	Approved		Approved	Nucleus<br>Vesicles	Pancreatic cancer:4.64e-4 (favourable), Liver cancer:4.76e-4 (favourable), Urothelial cancer:6.53e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 30.3	Mixed		
ACBD5	DKFZp434A2417, KIAA1996	ENSG00000107897	Acyl-CoA binding domain containing 5	10	27195214-27242130	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011861, HPA012145	Enhanced		Enhanced	Peroxisomes	Renal cancer:4.68e-5 (favourable), Breast cancer:3.33e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 57.1	Expressed in all		
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	17	63477061-63498380	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002426, CAB002921, HPA029298, HPA069790	Enhanced		Approved	Vesicles		Expressed in all	Tissue enhanced		duodenum: 178.9;small intestine: 291.6	testis: 83.7	Cell line enhanced		ASC TERT1: 44.4;HUVEC TERT2: 28.2
