Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ACVR1C	ACVRLK7, ALK7	ENSG00000123612	Activin A receptor type 1C	2	157526767-157629005	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007982, HPA011933	Approved					Mixed	Tissue enriched	8	adipose tissue: 34.1	ovary: 4.3	Cell line enhanced		ASC diff: 7.5;HDLM-2: 4.8
ACVRL1	ACVRLK1, ALK1, HHT, HHT2, ORW2	ENSG00000139567	Activin A receptor like type 1	12	51906908-51923361	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007041	Approved					Expressed in all	Tissue enhanced		placenta: 126.4	lung: 76.4	Cell line enhanced		ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	ADAM metallopeptidase domain 10	15	58588807-58749978	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB001709, HPA050670	Approved		Supported	Vesicles<br>Plasma membrane	Lung cancer:8.46e-5 (unfavourable), Pancreatic cancer:1.90e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 47.9	Expressed in all		
ADAM12	MCMPMltna, MLTN	ENSG00000148848	ADAM metallopeptidase domain 12	10	126012381-126388455	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA030866, HPA030867, HPA030868	Enhanced		Supported	Plasma membrane	Renal cancer:2.39e-14 (unfavourable)	Mixed	Tissue enriched	8	placenta: 237.2	cervix, uterine: 29.7	Cell line enhanced		fHDF/TERT166: 119.5;hTEC/SVTERT24-B: 94.3;U-2197: 86.6;U-251 MG: 71.0
ADAM15	MDC15	ENSG00000143537	ADAM metallopeptidase domain 15	1	155050566-155062775	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011633, HPA072878	Uncertain		Uncertain	Vesicles	Renal cancer:5.64e-9 (unfavourable), Glioma:3.49e-5 (unfavourable), Liver cancer:3.49e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 72.6	Cell line enhanced		PC-3: 305.3
ADAM17	CD156B, cSVP, TACE	ENSG00000151694	ADAM metallopeptidase domain 17	2	9488486-9555792	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA010738, CAB025906, HPA051575	Approved		Supported	Cytosol	Urothelial cancer:4.23e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 33.8	Expressed in all		
ADAM18	ADAM27, tMDCIII	ENSG00000168619	ADAM metallopeptidase domain 18	8	39584489-39730064	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	85	testis: 8.4	all non-specific tissues: 0.0	Not detected		
ADAM22	MDC2	ENSG00000008277	ADAM metallopeptidase domain 22	7	87934143-88202889	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050325			Approved	Cell Junctions		Mixed	Tissue enhanced		cerebral cortex: 47.6	prostate: 18.2	Cell line enhanced		Karpas-707: 58.7;SH-SY5Y: 81.7
ADAM28	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ENSG00000042980	ADAM metallopeptidase domain 28	8	24294040-24359018	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA074034	Enhanced		Approved	Plasma membrane<br>Mitochondria	Endometrial cancer:3.17e-4 (favourable)	Mixed	Tissue enhanced		epididymis: 435.5	stomach: 104.6	Cell line enriched	10	CAPAN-2: 24.6
ADAM29	CT73, svph1	ENSG00000168594	ADAM metallopeptidase domain 29	4	174829668-174978180	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	145	testis: 73.3	endometrium: 0.5	Not detected		
ADAM32		ENSG00000197140	ADAM metallopeptidase domain 32	8	39106990-39284911	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044156, HPA062151	Enhanced		Approved	Nucleus<br>Vesicles		Not detected	Tissue enriched	35	testis: 28.7	skin: 0.8	Cell line enhanced		U-2 OS: 1.1
ADAM33	C20orf153, dJ964F7.1, DKFZp434K0521	ENSG00000149451	ADAM metallopeptidase domain 33	20	3667965-3682246	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA067152, HPA071758	Approved		Uncertain	Nuclear speckles<br>Plasma membrane		Mixed	Mixed			endometrium: 103.3	Cell line enhanced		ASC diff: 55.2;ASC TERT1: 72.4;BJ: 31.3;BJ hTERT+: 51.1;fHDF/TERT166: 29.6;U-2197: 46.1
ADAM7	EAPI, GP-83	ENSG00000069206	ADAM metallopeptidase domain 7	8	24440930-24526970	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008879	Enhanced					Group enriched	Tissue enriched	199	epididymis: 4534.6	seminal vesicle: 22.7	Group enriched	23	BEWO: 2.3;NB-4: 3.9;RPMI-8226: 1.1;SH-SY5Y: 1.9
ADAM8	CD156, CD156a, MS2	ENSG00000151651	ADAM metallopeptidase domain 8	10	133262403-133276868	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA064637	Approved				Renal cancer:3.99e-10 (unfavourable)	Expressed in all	Tissue enhanced		bone marrow: 43.8;spleen: 32.9	appendix: 30.1	Cell line enhanced		A-431: 51.7;BEWO: 78.4;CAPAN-2: 61.7;HaCaT: 61.1;HDLM-2: 42.3;U-87 MG: 33.6
ADAM9	CORD9, KIAA0021, MCMP, MDC9, Mltng	ENSG00000168615	ADAM metallopeptidase domain 9	8	38996869-39105144	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004000			Approved	Endoplasmic reticulum<br>Vesicles	Liver cancer:7.21e-6 (unfavourable), Pancreatic cancer:2.52e-5 (unfavourable), Breast cancer:1.14e-4 (unfavourable), Cervical cancer:2.25e-4 (unfavourable), Renal cancer:3.99e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 118.7	Expressed in all		
ADAMTS1	C3-C5, KIAA1346, METH1	ENSG00000154734	ADAM metallopeptidase with thrombospondin type 1 motif 1	21	26835747-26845409	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016394	Uncertain				Head and neck cancer:5.13e-4 (unfavourable)	Expressed in all	Tissue enhanced		ovary: 412.9	adipose tissue: 279.9	Cell line enhanced		BJ: 346.6;hTEC/SVTERT24-B: 277.6
ADCYAP1R1	PAC1, PAC1R, PACAPR	ENSG00000078549	ADCYAP receptor type I	7	31052461-31111479	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA030739, HPA049877	Enhanced		Supported	Vesicles	Endometrial cancer:5.78e-4 (favourable)	Tissue enriched	Tissue enhanced		cerebral cortex: 137.1;fallopian tube: 46.8	cervix, uterine: 20.7	Group enriched	6	AF22: 3.6;NTERA-2: 4.9;SCLC-21H: 4.8;SH-SY5Y: 7.8
ADGRA3	FLJ38547, GPR125, PGR21	ENSG00000152990	Adhesion G protein-coupled receptor A3	4	22345071-22516054	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008904	Uncertain					Expressed in all	Expressed in all			thyroid gland: 42.5	Mixed		
ADGRB2	BAI2	ENSG00000121753	Adhesion G protein-coupled receptor B2	1	31727117-31764893	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA052612, HPA054617			Supported	Centrosome	Lung cancer:4.02e-5 (unfavourable), Breast cancer:6.46e-4 (favourable)	Tissue enhanced	Tissue enriched	14	cerebral cortex: 72.3	adrenal gland: 5.1	Cell line enhanced		SH-SY5Y: 26.4;T-47d: 27.3;U-2 OS: 28.9
ADGRD1	DKFZp434B1272, GPR133, PGR25	ENSG00000111452	Adhesion G protein-coupled receptor D1	12	130953907-131141469	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA042395	Uncertain		Approved	Nucleus<br>Cytosol	Liver cancer:9.27e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 44.7	lung: 32.4	Cell line enhanced		BJ: 4.0;fHDF/TERT166: 4.1;HeLa: 6.4;HHSteC: 5.0;HMC-1: 11.4;U-2 OS: 6.6
ADGRE3	EMR3	ENSG00000131355	Adhesion G protein-coupled receptor E3	19	14619117-14690027	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA015638	Uncertain					Not detected	Tissue enhanced		appendix: 8.7;spleen: 8.6	lung: 3.9	Cell line enriched	50	HMC-1: 39.7
ADGRE5	CD97, TM7LN1	ENSG00000123146	Adhesion G protein-coupled receptor E5	19	14380501-14408725	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA013707	Enhanced		Approved	Cytosol	Renal cancer:1.87e-6 (unfavourable), Liver cancer:3.73e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 140.3	Mixed		
ADGRF1	GPR110, hGPCR36, PGR19	ENSG00000153292	Adhesion G protein-coupled receptor F1	6	46997703-47042363	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038438	Approved				Renal cancer:1.35e-5 (favourable)	Mixed	Tissue enhanced		esophagus: 14.6;kidney: 17.6;urinary bladder: 18.9	gallbladder: 9.4	Group enriched	9	A-431: 27.0;CAPAN-2: 99.3;HaCaT: 22.4;PC-3: 33.9;RPTEC TERT1: 38.6;RT4: 104.1
ADGRG1	GPR56, TM7LN4, TM7XN1	ENSG00000205336	Adhesion G protein-coupled receptor G1	16	57610652-57665580	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046065	Uncertain				Renal cancer:5.52e-7 (favourable), Head and neck cancer:2.53e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 349.0	Cell line enhanced		SK-MEL-30: 229.9
ADGRG5	GPR114, PGR27	ENSG00000159618	Adhesion G protein-coupled receptor G5	16	57542421-57591681	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007133	Enhanced		Approved	Nucleoplasm<br>Nuclear membrane<br>Vesicles	Cervical cancer:4.25e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 11.2;tonsil: 8.8	appendix,spleen: 5.9	Cell line enriched	8	HMC-1: 31.8
ADGRG6	FLJ14937, GPR126	ENSG00000112414	Adhesion G protein-coupled receptor G6	6	142301854-142446266	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017346	Approved				Pancreatic cancer:2.78e-5 (unfavourable), Lung cancer:8.78e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 67.2	liver: 36.9	Cell line enhanced		HUVEC TERT2: 133.3;MCF7: 118.0
ADGRV1	DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1	ENSG00000164199	Adhesion G protein-coupled receptor V1	5	90529344-91164437	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA067503	Approved		Approved	Lipid droplets		Mixed	Tissue enriched	11	adrenal gland: 261.4	kidney: 22.9	Cell line enhanced		AF22: 15.3;HAP1: 23.8;NTERA-2: 11.7;SCLC-21H: 13.1
ADIG	MGC39724, RP5-1100H13.2, SMAF1	ENSG00000182035	Adipogenin	20	38581195-38588463	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA041124	Uncertain					Tissue enhanced	Group enriched	10	epididymis: 5.1;testis: 16.1;thyroid gland: 3.4	seminal vesicle: 0.8	Not detected		
AGER	RAGE, SCARJ1	ENSG00000204305	Advanced glycosylation end-product specific receptor	6	32180968-32184324	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB011682, HPA064436	Enhanced		Approved	Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)	Expressed in all	Tissue enriched	181	lung: 889.2	thyroid gland: 4.9	Cell line enhanced		HEK93: 2.5;U-266/70: 2.6
AGRN	AGRIN	ENSG00000188157	Agrin	1	1020123-1056118	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA040090	Approved		Supported	Plasma membrane<br>Cytosol	Liver cancer:4.62e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 33.2	Cell line enhanced		EFO-21: 223.9
AGTRAP	ATRAP	ENSG00000177674	Angiotensin II receptor associated protein	1	11736084-11754802	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044120	Approved		Supported	Vesicles	Liver cancer:6.57e-7 (unfavourable)	Expressed in all	Expressed in all			prostate: 92.6	Expressed in all		
AIG1	AIG-1, dJ95L4.1, FLJ10485	ENSG00000146416	Androgen induced 1	6	143060496-143340304	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA060766	Approved		Approved	Golgi apparatus	Head and neck cancer:3.25e-7 (unfavourable), Cervical cancer:3.26e-6 (unfavourable), Endometrial cancer:3.06e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 153.1	Expressed in all		
ALDOA		ENSG00000149925	Aldolase, fructose-bisphosphate A	16	30053090-30070457	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004177, CAB006252	Enhanced		Supported	Cytosol	Liver cancer:5.79e-5 (unfavourable), Lung cancer:7.32e-5 (unfavourable)	Expressed in all	Tissue enriched	7	skeletal muscle: 9377.0	esophagus: 1428.8	Expressed in all		
ALG1	CDG1K, HMAT1, HMT-1, Mat-1	ENSG00000033011	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16	5033960-5087379	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060392	Approved		Approved	Nucleoli fibrillar center<br>Endoplasmic reticulum	Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
ALG9	DIBD1	ENSG00000086848	ALG9, alpha-1,2-mannosyltransferase	11	111782195-111871581	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038575	Approved		Approved	Endoplasmic reticulum	Renal cancer:7.29e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 25.8	Expressed in all		
ALPL	HOPS, TNSALP	ENSG00000162551	Alkaline phosphatase, liver/bone/kidney	1	21509372-21578412	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007105, HPA008765, CAB020829	Enhanced		Approved	Cytosol	Melanoma:7.08e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 78.8	kidney: 47.2	Group enriched	8	HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8
ANO7	IPCA-5, NGEP, PCANAP5, PCANAP5L, TMEM16G	ENSG00000146205	Anoctamin 7	2	241188509-241225377	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA035730	Uncertain					Tissue enriched	Tissue enhanced		prostate: 100.6;stomach: 26.0	small intestine: 15.4	Cell line enhanced		BEWO: 2.1;Hep G2: 1.5
ANTXR1	ATR, FLJ10601, FLJ21776, TEM8	ENSG00000169604	Anthrax toxin receptor 1	2	69013178-69249327	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054785			Uncertain	Vesicles	Thyroid cancer:1.22e-5 (unfavourable), Cervical cancer:5.76e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 180.5	Cell line enhanced		LHCN-M2: 286.7
APCDD1	B7323	ENSG00000154856	APC down-regulated 1	18	10454628-10489948	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Endometrial cancer:6.39e-4 (favourable)	Expressed in all	Tissue enhanced		skin: 153.1	cerebral cortex: 60.6	Cell line enhanced		AF22: 31.6;BJ hTERT+: 56.8;HaCaT: 37.9;HSkMC: 28.6
APLP2	APPH, APPL2	ENSG00000084234	Amyloid beta precursor like protein 2	11	130069837-130144811	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA039319	Approved		Approved	Vesicles	Renal cancer:1.33e-9 (favourable), Thyroid cancer:2.90e-4 (favourable), Liver cancer:3.37e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 1056.8	Expressed in all		
APOL1	APOL	ENSG00000100342	Apolipoprotein L1	22	36253010-36267530	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA018885, CAB056156	Supported				Renal cancer:7.43e-6 (unfavourable), Urothelial cancer:2.01e-5 (favourable), Lung cancer:5.35e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 116.1	Cell line enhanced		EFO-21: 233.1;HDLM-2: 156.1;RT4: 120.9
ARSE	CDPX, CDPX1	ENSG00000157399	Arylsulfatase E (chondrodysplasia punctata 1)	X	2934632-2968310	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060518, HPA070651	Approved		Supported	Golgi apparatus	Colorectal cancer:8.95e-4 (favourable)	Mixed	Tissue enhanced		kidney: 41.3;liver: 49.3	pancreas: 23.9	Cell line enhanced		A549: 65.1;CACO-2: 37.1;Hep G2: 46.2;NTERA-2: 32.8
ART3		ENSG00000156219	ADP-ribosyltransferase 3	4	76011184-76112802	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011268	Enhanced					Tissue enhanced	Tissue enhanced		skeletal muscle: 77.0;testis: 174.4	heart muscle: 29.1	Group enriched	7	NB-4: 3.4;NTERA-2: 14.0;SK-MEL-30: 4.9
ART4	CD297, DO, DOK1	ENSG00000111339	ADP-ribosyltransferase 4 (Dombrock blood group)	12	14825569-14843495	Blood group antigen proteins, CD markers, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA075664			Approved	Rods & Rings		Tissue enhanced	Tissue enhanced		liver: 27.2;spleen: 26.9	gallbladder: 15.1	Cell line enhanced		AN3-CA: 5.6;HEL: 10.9;Hep G2: 4.9;HUVEC TERT2: 22.5
ATP13A1	ATP13A, CGI-152, FLJ31858, KIAA1825	ENSG00000105726	ATPase 13A1	19	19645198-19663693	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA031798, HPA049717	Approved		Approved	Vesicles	Renal cancer:6.51e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 52.5	Expressed in all		
ATP5F1		ENSG00000116459	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	1	111448864-111462773	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046067, HPA057347	Enhanced		Supported	Mitochondria	Renal cancer:3.26e-9 (favourable), Stomach cancer:8.07e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 50.4	Expressed in all		
ATP6AP1	16A, Ac45, ATP6IP1, ATP6S1, CF2, ORF, VATPS1, XAP-3, XAP3	ENSG00000071553	ATPase H+ transporting accessory protein 1	X	154428632-154436516	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB015218	Uncertain		Approved	Plasma membrane<br>Microtubules<br>Cytosol	Renal cancer:5.26e-8 (favourable), Breast cancer:2.40e-4 (unfavourable), Glioma:7.82e-4 (unfavourable), Pancreatic cancer:7.83e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 209.7	Expressed in all		
ATP6AP2	APT6M8-9, ATP6IP2, ATP6M8-9, M8-9, PRR, RENR	ENSG00000182220	ATPase H+ transporting accessory protein 2	X	40579372-40606848	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA003156	Approved				Renal cancer:2.01e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 893.4	Expressed in all		
BACE2	AEPLC, ALP56, CEAP1, DRAP	ENSG00000182240	Beta-site APP-cleaving enzyme 2	21	41167801-41282518	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA035416	Approved				Cervical cancer:1.11e-4 (unfavourable), Glioma:8.13e-4 (unfavourable)	Expressed in all	Mixed			stomach: 30.5	Cell line enhanced		SK-BR-3: 43.8;WM-115: 41.2
BCAM	CD239, LU	ENSG00000187244	Basal cell adhesion molecule (Lutheran blood group)	19	44809059-44821420	Blood group antigen proteins, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005654	Uncertain		Approved	Nucleoli fibrillar center	Renal cancer:5.94e-6 (favourable), Endometrial cancer:1.24e-5 (unfavourable), Colorectal cancer:2.31e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 174.7	Cell line enhanced		HaCaT: 278.4;SK-BR-3: 217.2;T-47d: 152.4
BCAP29	BAP29, DKFZp686M2086	ENSG00000075790	B-cell receptor associated protein 29	7	107579977-107629170	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA029215, HPA049694	Enhanced		Approved	Cytosol	Liver cancer:3.62e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 93.0	Expressed in all		
BDNF		ENSG00000176697	Brain derived neurotrophic factor	11	27654893-27722058	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009564, HPA031440, HPA056104	Enhanced		Supported	Nuclear speckles<br>Mitochondria		Mixed	Tissue enhanced		cerebral cortex: 11.9	epididymis: 4.9	Cell line enhanced		BJ: 37.3;BJ hTERT+ SV40 Large T+: 30.7;HBF TERT88: 30.4;U-138 MG: 45.3
