Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AARD	C8orf85, LOC441376	ENSG00000205002	Alanine and arginine rich domain containing protein	8	116938199-116944487	Predicted intracellular proteins	Evidence at protein level	HPA068290			Approved	Lipid droplets		Tissue enriched	Tissue enriched	8	testis: 42.4	breast: 5.4	Cell line enhanced		HDLM-2: 20.1;SK-BR-3: 8.9;U-2 OS: 6.0
AARS	AlaRS, CMT2N	ENSG00000090861	Alanyl-tRNA synthetase	16	70252295-70289543	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB034261, HPA040870, HPA044223	Supported		Enhanced	Cytosol		Expressed in all	Expressed in all			parathyroid gland: 178.0	Expressed in all		
AARS2	AARSL, bA444E17.1, KIAA1270	ENSG00000124608	Alanyl-tRNA synthetase 2, mitochondrial	6	44299654-44313326	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA035636, HPA061396	Approved		Enhanced	Mitochondria		Expressed in all	Mixed			parathyroid gland: 11.4	Expressed in all		
AARSD1	MGC2744	ENSG00000266967	Alanyl-tRNA synthetase domain containing 1	17	42950526-42964498	Predicted intracellular proteins	Evidence at protein level	HPA021408, HPA022869, HPA023714	Supported		Approved	Nuclear membrane<br>Cytosol	Renal cancer:1.67e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 99.4	Expressed in all		
AASDHPPT	AASD-PPT, ACPS, CGI-80, LYS5	ENSG00000149313	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	11	106075501-106098710	Predicted intracellular proteins	Evidence at protein level	HPA026687	Approved				Renal cancer:4.27e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 81.9	Expressed in all		
AASS	LKRSDH, LORSDH	ENSG00000008311	Aminoadipate-semialdehyde synthase	7	122075647-122144280	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA020637, HPA020728, HPA020734	Enhanced		Enhanced	Vesicles<br>Mitochondria	Liver cancer:9.81e-4 (favourable)	Expressed in all	Mixed			ovary: 30.7	Cell line enhanced		AN3-CA: 49.4;NTERA-2: 51.8
AATF	BFR2, CHE-1, CHE1, DED	ENSG00000275700	Apoptosis antagonizing transcription factor	17	36948875-37056871	Predicted intracellular proteins	Evidence at protein level	HPA004940	Uncertain				Renal cancer:4.14e-5 (unfavourable), Liver cancer:6.62e-5 (unfavourable)	Expressed in all	Expressed in all			lymph node: 19.9	Expressed in all		
AATK-AS1		ENSG00000225180	AATK antisense RNA 1	17	81165507-81183164	Predicted intracellular proteins	No evidence							Not detected	Not detected			adipose tissue,cerebral cortex: 0.1	Not detected		
ABAT	GABAT	ENSG00000183044	4-aminobutyrate aminotransferase	16	8674565-8784575	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041528, HPA041690	Enhanced	Supported	Supported	Mitochondria	Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 164.5;kidney: 135.3;liver: 175.2	thyroid gland: 47.5	Cell line enhanced		Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
ABC13-47488600E17.1		ENSG00000283199		13	113953705-113973997	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		stomach: 2.6;testis: 5.9	lung: 2.1	Cell line enhanced		hTEC/SVTERT24-B: 1.2
ABCE1	OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I	ENSG00000164163	ATP binding cassette subfamily E member 1	4	145097932-145129179	Predicted intracellular proteins	Evidence at protein level	CAB012476, HPA036846	Approved		Enhanced	Cytosol	Pancreatic cancer:1.88e-4 (unfavourable), Liver cancer:6.29e-4 (unfavourable), Colorectal cancer:8.69e-4 (favourable)	Expressed in all	Expressed in all			testis: 46.1	Expressed in all		
ABCF1	ABC50, EST123147	ENSG00000204574	ATP binding cassette subfamily F member 1	6	30571376-30597179	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA017578	Approved		Enhanced	Cytosol	Liver cancer:9.47e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 11.3	Expressed in all		
ABCF2	ABC28, EST133090, HUSSY-18, M-ABC1	ENSG00000033050	ATP binding cassette subfamily F member 2	7	151207837-151227230	Predicted intracellular proteins	Evidence at protein level	HPA020091, CAB020682, HPA021815, HPA030388	Enhanced		Supported	Cytosol	Liver cancer:9.52e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 52.2	Expressed in all		
ABCF3	EST201864	ENSG00000161204	ATP binding cassette subfamily F member 3	3	184186023-184194012	Predicted intracellular proteins	Evidence at protein level	HPA036332	Approved		Approved	Nucleoli<br>Cytosol	Liver cancer:4.16e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 76.2	Expressed in all		
ABHD11	PP1226, WBSCR21	ENSG00000106077	Abhydrolase domain containing 11	7	73736094-73738867	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA024042, HPA049641	Approved		Supported	Mitochondria	Renal cancer:3.66e-7 (favourable)	Expressed in all	Expressed in all			thyroid gland: 28.6	Expressed in all		
ABHD12B	BEM46L3, C14orf29	ENSG00000131969	Abhydrolase domain containing 12B	14	50872160-50904970	Predicted intracellular proteins	Evidence at transcript level	HPA002873	Uncertain		Uncertain	Nucleus		Tissue enriched	Tissue enriched	8	skin: 16.3	cerebral cortex: 2.1	Not detected		
ABHD14B	CIB, MGC15429	ENSG00000114779	Abhydrolase domain containing 14B	3	51968510-51983409	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA036444, HPA036642	Supported		Supported	Nucleus<br>Nucleoli<br>Cytosol	Renal cancer:2.93e-5 (favourable), Endometrial cancer:5.42e-5 (favourable), Cervical cancer:6.92e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 90.8	Expressed in all		
ABHD16B	C20orf135, dJ591C20.1	ENSG00000183260	Abhydrolase domain containing 16B	20	63861498-63862988	Plasma proteins, Predicted intracellular proteins	Evidence at transcript level	HPA059272	Uncertain		Approved	Nucleoplasm		Not detected	Mixed			testis: 5.7	Cell line enhanced		PC-3: 17.5
ABHD17A	C19orf27, FAM108A1, MGC5244	ENSG00000129968	Abhydrolase domain containing 17A	19	1876810-1885547	Predicted intracellular proteins	Evidence at protein level	HPA043270, HPA047226	Uncertain		Approved	Vesicles	Pancreatic cancer:1.76e-5 (favourable), Endometrial cancer:1.73e-4 (favourable), Head and neck cancer:6.46e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 31.4	Mixed		
ABHD17B	C9orf77, CGI-67, FAM108B1	ENSG00000107362	Abhydrolase domain containing 17B	9	71862452-71910931	Predicted intracellular proteins	Evidence at protein level	HPA047862	Uncertain				Renal cancer:2.59e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 35.3	Mixed		
ABHD17C	FAM108C1	ENSG00000136379	Abhydrolase domain containing 17C	15	80679684-80755621	Predicted intracellular proteins	Evidence at protein level	HPA048890	Uncertain					Expressed in all	Mixed			colon: 64.0	Mixed		
ABHD18	C4orf29, FLJ21106	ENSG00000164074	Abhydrolase domain containing 18	4	127965306-128039711	Predicted intracellular proteins	Evidence at protein level	HPA050168, HPA051676	Approved		Approved	Nuclear membrane	Colorectal cancer:5.35e-4 (favourable), Urothelial cancer:9.13e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 11.0	Expressed in all		
ABHD4	FLJ12816	ENSG00000100439	Abhydrolase domain containing 4	14	22598237-22613215	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA000600	Uncertain		Approved	Nucleus		Expressed in all	Expressed in all			testis: 62.8	Mixed		
ABHD5	CGI-58, NCIE2	ENSG00000011198	Abhydrolase domain containing 5	3	43690113-43734371	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB020685, HPA035851, HPA035852	Approved		Approved	Vesicles	Renal cancer:9.17e-5 (favourable), Colorectal cancer:8.89e-4 (favourable)	Expressed in all	Expressed in all			adipose tissue: 50.6	Expressed in all		
ABHD8	FLJ11743, MGC14280, MGC2512	ENSG00000127220	Abhydrolase domain containing 8	19	17292131-17310236	Predicted intracellular proteins	Evidence at protein level	HPA037658, HPA058209	Approved		Approved	Nucleoplasm<br>Nuclear bodies	Pancreatic cancer:3.04e-5 (favourable), Colorectal cancer:5.25e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 28.5	Cell line enhanced		PC-3: 48.7
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Abl interactor 1	10	26746593-26861087	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB008375, HPA029973, HPA068407	Approved		Supported	Plasma membrane<br>Cell Junctions		Expressed in all	Expressed in all			cerebral cortex: 87.4	Expressed in all		
ABI2	ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2	ENSG00000138443	Abl interactor 2	2	203328219-203447723	Predicted intracellular proteins	Evidence at protein level	HPA062433, HPA070567	Enhanced		Approved	Nucleoplasm		Expressed in all	Expressed in all			cerebral cortex: 98.8	Mixed		
ABI3	NESH, SSH3BP3	ENSG00000108798	ABI family member 3	17	49210227-49223225	Predicted intracellular proteins	Evidence at protein level	HPA017345	Enhanced				Endometrial cancer:7.13e-4 (favourable)	Expressed in all	Tissue enhanced		spleen: 62.0	lymph node: 29.9	Cell line enhanced		Daudi: 28.2;HDLM-2: 21.3;HUVEC TERT2: 54.6;TIME: 38.1
ABL1	ABL, c-ABL, JTK7, p150	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	130713946-130887675	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB002686, HPA027251, HPA027280, HPA028409	Supported		Enhanced	Nucleoplasm<br>Nuclear bodies		Expressed in all	Expressed in all			parathyroid gland: 83.9	Expressed in all		
ABL2	ABLL, ARG	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase	1	179099327-179229684	Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA001866, CAB017106, HPA072754	Uncertain		Supported	Nucleoplasm	Renal cancer:1.78e-7 (unfavourable), Cervical cancer:3.50e-4 (unfavourable), Urothelial cancer:8.40e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 20.3	Expressed in all		
ABLIM1	ABLIM, LIMAB1, limatin	ENSG00000099204	Actin binding LIM protein 1	10	114431113-114685003	Predicted intracellular proteins	Evidence at protein level	HPA038951, HPA038952	Approved		Supported	Cytosol	Renal cancer:2.72e-5 (favourable)	Expressed in all	Expressed in all			ovary: 284.7	Mixed		
ABLIM2	KIAA1808	ENSG00000163995	Actin binding LIM protein family member 2	4	7965310-8158832	Predicted intracellular proteins	Evidence at protein level	HPA035808	Uncertain		Approved	Nucleoplasm<br>Mitochondria		Mixed	Tissue enhanced		skeletal muscle: 37.5;spleen: 28.4	cerebral cortex: 22.1	Group enriched	6	SCLC-21H: 16.3;SiHa: 6.6;U-2197: 19.7
ABLIM3	KIAA0843	ENSG00000173210	Actin binding LIM protein family member 3	5	149141483-149260542	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA003245	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cell Junctions	Renal cancer:1.28e-4 (unfavourable)	Mixed	Tissue enhanced		parathyroid gland: 79.4	adipose tissue: 63.7	Cell line enhanced		TIME: 84.5
ABR	MDB	ENSG00000159842	Active BCR-related	17	1003518-1229021	Predicted intracellular proteins	Evidence at protein level	HPA053618, HPA054824	Enhanced		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.21e-4 (favourable), Cervical cancer:4.03e-4 (favourable)	Expressed in all	Mixed			smooth muscle: 12.6	Cell line enhanced		Daudi: 26.9;LHCN-M2: 20.5;TIME: 33.6;U-251 MG: 34.7;U-698: 21.1
ABRA	STARS	ENSG00000174429	Actin binding Rho activating protein	8	106759483-106770245	Predicted intracellular proteins	Evidence at transcript level							Not detected	Group enriched	9	heart muscle: 11.0;skeletal muscle: 49.8	esophagus: 3.3	Not detected		
ABRACL	C6orf115, Costars, HSPC280, PRO2013	ENSG00000146386	ABRA C-terminal like	6	139028682-139043302	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA030217	Enhanced		Approved	Nucleoplasm<br>Cytosol	Urothelial cancer:1.65e-6 (favourable)	Expressed in all	Mixed			epididymis: 147.3	Mixed		
ABT1		ENSG00000146109	Activator of basal transcription 1	6	26596952-26600744	Predicted intracellular proteins	Evidence at protein level	HPA077039			Approved	Vesicles	Ovarian cancer:1.89e-4 (favourable), Urothelial cancer:3.80e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 17.9	Expressed in all		
ABTB1	BPOZ, Btb3, BTBD21, EF1ABP	ENSG00000114626	Ankyrin repeat and BTB domain containing 1	3	127672935-127680920	Predicted intracellular proteins	Evidence at protein level	HPA035022, HPA035023	Uncertain		Supported	Nucleoli<br>Cytosol	Renal cancer:1.13e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 50.2	Mixed		
ABTB2	ABTB2A, BTBD22, DKFZP586C1619	ENSG00000166016	Ankyrin repeat and BTB domain containing 2	11	34150988-34358008	Predicted intracellular proteins	Evidence at protein level	HPA020065, HPA030699	Approved		Supported	Nucleus	Renal cancer:3.51e-5 (favourable), Cervical cancer:5.70e-5 (unfavourable)	Expressed in all	Mixed			adrenal gland: 13.0	Mixed		
AC002310.13		ENSG00000260869		16	30534227-30558279	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			adipose tissue,colon,duodenum,small intestine,spleen: 0.5	Cell line enhanced		A549: 1.2
AC002429.5		ENSG00000236197		7	95035731-95214332	Predicted intracellular proteins	Evidence at transcript level							Tissue enriched	Tissue enriched	10	cerebral cortex: 2.7	esophagus: 0.2	Not detected		
AC003002.4		ENSG00000268133		19	57363566-57398584	Predicted intracellular proteins	No evidence							Not detected	Not detected			adipose tissue,appendix: 0.2	Not detected		
AC003002.6		ENSG00000269533		19	57389884-57419994	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			appendix,fallopian tube,testis: 0.2	Cell line enhanced		CACO-2: 1.1;HEL: 1.1;PC-3: 1.6
AC003006.7		ENSG00000269026		19	57682045-57753575	Predicted intracellular proteins	Evidence at transcript level	HPA068553			Approved	Nucleus		Not detected	Not detected			seminal vesicle: 0.2	Cell line enhanced		HL-60: 1.0;U-266/84: 1.4
AC004076.7		ENSG00000268533		19	57394183-57438457	Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			skin: 8.9	Cell line enhanced		SCLC-21H: 6.0
AC004076.9		ENSG00000268163		19	57437970-57477536	Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			cerebral cortex: 1.0	Not detected		
AC004381.6		ENSG00000005189	Putative RNA exonuclease NEF-sp 	16	20806429-20849668	Predicted intracellular proteins	Evidence at protein level	HPA040755, HPA040868	Enhanced		Approved	Nuclear membrane<br>Nucleoli<br>Endoplasmic reticulum		Expressed in all	Tissue enriched	33	testis: 618.5	parathyroid gland: 18.9	Mixed		
AC004556.1		ENSG00000276345		Unmapped	2585-11802	Predicted intracellular proteins	Evidence at protein level	HPA050406	Uncertain		Supported	Nucleoli fibrillar center<br>Mitochondria			Mixed			breast: 24.8	Cell line enhanced		NB-4: 110.2;PC-3: 145.9;WM-115: 112.0
AC005281.1		ENSG00000226690		7	12483344-12541910	Predicted intracellular proteins	Evidence at transcript level							Not detected	Group enriched	6	fallopian tube: 8.1;testis: 1.6	lung: 0.7	Cell line enhanced		HAP1: 1.4
AC006486.9		ENSG00000268643		19	42234583-42255132	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enhanced		cerebral cortex: 7.8	endometrium: 5.1	Cell line enhanced		RT4: 21.6
AC007325.1		ENSG00000276017		Unmapped	72411-74814	Predicted intracellular proteins	Evidence at transcript level								Tissue enriched	89	testis: 16.5	adipose tissue,gallbladder,smooth muscle,spleen,urinary bladder: 0.1	Not detected		
AC007325.2		ENSG00000277196		Unmapped	138082-161852	Predicted intracellular proteins	Evidence at transcript level	HPA020361	Uncertain						Tissue enhanced		skin: 38.5;small intestine: 37.1	duodenum: 29.0	Cell line enriched	7	RPTEC TERT1: 137.9
AC007325.4		ENSG00000278817		Unmapped	131494-137392	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5	thyroid gland: 14.9	Cell line enhanced		A549: 14.5;T-47d: 10.8
AC007326.13		ENSG00000283809		22	18906238-18947732	Predicted intracellular proteins	Evidence at transcript level								Expressed in all			cerebral cortex: 23.0	Expressed in all		
AC010646.3		ENSG00000269095		19	17235940-17255448	Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			epididymis: 1.4	Cell line enhanced		BEWO: 5.8;EFO-21: 1.6
AC010731.4		ENSG00000235118		2	206642418-206649449	Predicted intracellular proteins	No evidence							Not detected	Not detected			cerebral cortex: 0.6	Not detected		
AC011043.1		ENSG00000276256	Homo sapiens uncharacterized LOC389831 (LOC389831), transcript variant 3, mRNA.	Unmapped	42939-49164	Predicted intracellular proteins	Evidence at transcript level								Mixed			kidney: 69.3	Mixed		
AC011043.2		ENSG00000278198		Unmapped	173872-179372	Predicted intracellular proteins	Evidence at transcript level								Not detected			skin: 0.4	Cell line enhanced		A-431: 2.4
AC011530.4		ENSG00000268434		19	45779437-45785973	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enhanced		epididymis: 1.0	appendix: 0.9	Not detected		
AC011841.1		ENSG00000273496		Unmapped	99351-104855	Predicted intracellular proteins	Evidence at transcript level								Not detected			skin: 0.4	Cell line enhanced		A-431: 2.4
AC013269.5		ENSG00000184761		2	130539095-130549883	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
AC023491.2		ENSG00000278633		Unmapped	10598-13001	Predicted intracellular proteins	Evidence at transcript level								Tissue enriched	545	testis: 67.4	parathyroid gland,small intestine: 0.1	Not detected		
AC025335.1		ENSG00000179859		17	7913324-7916276	Predicted intracellular proteins	Evidence at transcript level						Cervical cancer:8.89e-5 (favourable)	Expressed in all	Tissue enriched	8	skin: 61.7	fallopian tube: 8.0	Cell line enhanced		SiHa: 14.9
AC037459.4		ENSG00000248235		8	22589274-22602084	Predicted intracellular proteins	Evidence at transcript level	HPA024667	Uncertain					Not detected	Tissue enhanced		spleen: 3.6	small intestine: 1.9	Cell line enhanced		U-2197: 3.5
AC068533.7		ENSG00000249319		7	66087761-66152277	Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			parathyroid gland: 8.1	Mixed		
AC069368.3		ENSG00000249240		15	64841883-64930920	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enhanced		spleen: 8.8	appendix: 6.1	Cell line enhanced		U-266/84: 21.3
AC073610.5		ENSG00000255863		12	48921963-48939663	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
AC092835.2		ENSG00000233757		2	95207535-95259774	Predicted intracellular proteins	Evidence at transcript level							Mixed	Mixed			testis: 3.9	Cell line enhanced		SCLC-21H: 6.3
AC104534.3		ENSG00000268083		19	38817471-38840178	Predicted intracellular proteins	Evidence at protein level	HPA002907, HPA051748	Uncertain					Not detected	Not detected			lung: 0.9	Cell line enhanced		NB-4: 19.4
AC113404.1		ENSG00000254893	Ras-related protein Rap-1b-like protein 	5	76170093-76174331	Predicted intracellular proteins	Evidence at transcript level							Mixed	Tissue enriched	8	small intestine: 3.4	adrenal gland: 0.4	Group enriched	8	Daudi: 7.6;Karpas-707: 13.3;RPMI-8226: 11.1
AC131097.4		ENSG00000216921		2	241893985-241902551	Predicted intracellular proteins	Evidence at transcript level							Tissue enhanced	Tissue enhanced		thyroid gland: 11.5	pancreas: 6.4	Cell line enhanced		REH: 2.2;SCLC-21H: 1.8
AC133551.1		ENSG00000274175		Unmapped	17234-19833	Predicted intracellular proteins	Evidence at transcript level								Group enriched	28	epididymis: 7.4;testis: 4.1	placenta: 0.2	Not detected		
AC136352.1		ENSG00000276760		Unmapped	136160-167571	Predicted intracellular proteins	No evidence	HPA042822	Uncertain						Not detected			all non-specific tissues: 0.0	Not detected		
AC136612.1		ENSG00000275869		Unmapped	933862-936467	Predicted intracellular proteins	Evidence at transcript level								Tissue enriched	5	testis: 4.3	epididymis: 0.8	Not detected		
AC136616.2		ENSG00000277761		Unmapped	1167457-1257196	Predicted intracellular proteins	Evidence at transcript level								Mixed			colon: 76.7	Not detected		
AC136616.3		ENSG00000278782		Unmapped	1157687-1240349	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		cervix, uterine: 8.6;tonsil: 6.6	breast,small intestine: 5.4	Not detected		
AC138647.1		ENSG00000226490		8	141514638-141518737	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enhanced		testis: 1.8	skin: 0.3	Not detected		
AC141272.1		ENSG00000277836		Unmapped	1270984-1271271	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		tonsil: 114.8	urinary bladder: 94.9	Cell line enhanced		RPMI-8226: 1.3
AC145212.1		ENSG00000274847		Unmapped	53594-115055	Predicted intracellular proteins	Evidence at transcript level	HPA053929	Uncertain		Uncertain	Intermediate filaments			Mixed			adrenal gland: 10.2	Mixed		
AC233755.2		ENSG00000277856		Unmapped	26241-26534	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		tonsil: 197.2	lymph node: 99.3	Cell line enhanced		MOLT-4: 6.1;REH: 2.1;SH-SY5Y: 2.5;TIME: 1.3
AC240274.1		ENSG00000271254		Unmapped	4612-29626	Predicted intracellular proteins	Evidence at protein level	HPA038748, HPA038752, HPA042595, HPA043105, HPA043692, HPA044023, HPA046971, HPA058050	Uncertain		Approved	Vesicles			Expressed in all			testis: 73.9	Expressed in all		
ACAA1		ENSG00000060971	Acetyl-CoA acyltransferase 1	3	38103129-38137242	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006764, HPA007244	Enhanced		Enhanced	Peroxisomes	Renal cancer:6.99e-9 (favourable), Head and neck cancer:1.23e-4 (favourable), Breast cancer:3.00e-4 (favourable), Endometrial cancer:7.53e-4 (favourable)	Expressed in all	Expressed in all			liver: 328.4	Expressed in all		
ACAA2	DSAEC	ENSG00000167315	Acetyl-CoA acyltransferase 2	18	49782167-49813960	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA042303	Enhanced		Supported	Mitochondria	Renal cancer:1.36e-10 (favourable), Endometrial cancer:8.53e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 509.5	Mixed		
ACACA	ACAC, ACC, ACC1	ENSG00000278540	Acetyl-CoA carboxylase alpha	17	37084988-37406818	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB013715, HPA036650, HPA063018	Approved		Supported	Nucleoli fibrillar center<br>Actin filaments<br>Cytosol	Liver cancer:1.24e-5 (unfavourable)	Expressed in all	Mixed			breast: 28.8	Expressed in all		
ACAD10	MGC5601	ENSG00000111271	Acyl-CoA dehydrogenase family member 10	12	111686056-111757107	Predicted intracellular proteins	Evidence at protein level	HPA067222	Uncertain				Renal cancer:3.71e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 33.6	Expressed in all		
